Month,Cost
1991-07-01,3.53
1991-08-01,3.18
1991-09-01,3.25
1991-10-01,3.61
1991-11-01,3.57
1991-12-01,4.31
1992-01-01,5.09
1992-02-01,2.81
1992-03-01,2.99
1992-04-01,3.2
1992-05-01,3.13
1992-06-01,3.27
1992-07-01,3.74
1992-08-01,3.56
1992-09-01,3.78
1992-10-01,3.92
1992-11-01,4.39
1992-12-01,5.81
1993-01-01,6.19
1993-02-01,3.45
1993-03-01,3.77
1993-04-01,3.73
1993-05-01,3.91
1993-06-01,4.05
1993-07-01,4.32
1993-08-01,4.56
1993-09-01,4.61
1993-10-01,4.67
1993-11-01,5.09
1993-12-01,7.18
1994-01-01,6.73
1994-02-01,3.84
1994-03-01,4.39
1994-04-01,4.08
1994-05-01,4.54
1994-06-01,4.65
1994-07-01,4.75
1994-08-01,5.35
1994-09-01,5.2
1994-10-01,5.3
1994-11-01,5.77
1994-12-01,6.2
1995-01-01,6.75
1995-02-01,4.22
1995-03-01,4.95
1995-04-01,4.82
1995-05-01,5.19
1995-06-01,5.17
1995-07-01,5.26
1995-08-01,5.86
1995-09-01,5.49
1995-10-01,6.12
1995-11-01,6.09
1995-12-01,7.42
1996-01-01,8.33
1996-02-01,5.07
1996-03-01,5.26
1996-04-01,5.6
1996-05-01,6.11
1996-06-01,5.69
1996-07-01,6.49
1996-08-01,6.3
1996-09-01,6.47
1996-10-01,6.83
1996-11-01,6.65
1996-12-01,8.61
1997-01-01,8.52
1997-02-01,5.28
1997-03-01,5.71
1997-04-01,6.21
1997-05-01,6.41
1997-06-01,6.67
1997-07-01,7.05
1997-08-01,6.7
1997-09-01,7.25
1997-10-01,7.82
1997-11-01,7.4
1997-12-01,10.1
1998-01-01,8.8
1998-02-01,5.92
1998-03-01,6.53
1998-04-01,6.68
1998-05-01,7.06
1998-06-01,7.38
1998-07-01,7.81
1998-08-01,7.43
1998-09-01,8.28
1998-10-01,8.26
1998-11-01,8.6
1998-12-01,10.56
1999-01-01,10.39
1999-02-01,6.42
1999-03-01,8.06
1999-04-01,7.3
1999-05-01,7.94
1999-06-01,8.17
1999-07-01,8.72
1999-08-01,9.07
1999-09-01,9.18
1999-10-01,9.25
1999-11-01,9.93
1999-12-01,11.53
2000-01-01,12.51
2000-02-01,7.46
2000-03-01,8.59
2000-04-01,8.47
2000-05-01,9.39
2000-06-01,9.56
2000-07-01,10.83
2000-08-01,10.64
2000-09-01,9.91
2000-10-01,11.71
2000-11-01,11.34
2000-12-01,12.08
2001-01-01,14.5
2001-02-01,8.05
2001-03-01,10.31
2001-04-01,9.75
2001-05-01,10.85
2001-06-01,9.96
2001-07-01,11.44
2001-08-01,11.66
2001-09-01,10.65
2001-10-01,12.65
2001-11-01,13.67
2001-12-01,12.97
2002-01-01,16.3
2002-02-01,9.05
2002-03-01,10.0
2002-04-01,10.79
2002-05-01,12.11
2002-06-01,10.95
2002-07-01,12.84
2002-08-01,12.2
2002-09-01,12.85
2002-10-01,13.54
2002-11-01,13.29
2002-12-01,15.13
2003-01-01,16.83
2003-02-01,9.8
2003-03-01,10.82
2003-04-01,10.65
2003-05-01,12.51
2003-06-01,12.16
2003-07-01,13.0
2003-08-01,12.52
2003-09-01,13.27
2003-10-01,14.73
2003-11-01,13.67
2003-12-01,16.5
2004-01-01,18.0
2004-02-01,11.94
2004-03-01,13.0
2004-04-01,12.88
2004-05-01,13.94
2004-06-01,13.99
2004-07-01,15.34
2004-08-01,15.37
2004-09-01,16.14
2004-10-01,16.69
2004-11-01,17.64
2004-12-01,18.87
2005-01-01,20.78
2005-02-01,12.15
2005-03-01,13.4
2005-04-01,14.46
2005-05-01,14.8
2005-06-01,15.71
2005-07-01,15.83
2005-08-01,17.55
2005-09-01,18.1
2005-10-01,17.5
2005-11-01,19.35
2005-12-01,20.03
2006-01-01,23.49
2006-02-01,12.54
2006-03-01,15.47
2006-04-01,14.23
2006-05-01,17.78
2006-06-01,16.29
2006-07-01,16.98
2006-08-01,18.61
2006-09-01,16.62
2006-10-01,21.43
2006-11-01,23.58
2006-12-01,23.33
2007-01-01,28.04
2007-02-01,16.76
2007-03-01,19.79
2007-04-01,16.43
2007-05-01,21.0
2007-06-01,20.68
2007-07-01,21.83
2007-08-01,23.93
2007-09-01,22.93
2007-10-01,23.26
2007-11-01,25.25
2007-12-01,25.81
2008-01-01,29.67
2008-02-01,21.65
2008-03-01,18.26
2008-04-01,23.11
2008-05-01,22.91
2008-06-01,19.43
